"COUNTRY","Country","POLLUTANT","Pollutant","ACTIVITY","Activity - NACE 2","MEASURE","Measure","EMISSION","Emissions","YEA","Year","Value","Flag Codes","Flags"
"RUS","Russia","CH4","Methane","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2009","2009",119560,,
"RUS","Russia","CH4","Methane","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2010","2010",117670,,
"RUS","Russia","CH4","Methane","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2011","2011",123060,,
"RUS","Russia","CH4","Methane","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2012","2012",106410,,
"RUS","Russia","CH4","Methane","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2013","2013",88370,,
"RUS","Russia","CH4","Methane","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2014","2014",92790,,
"RUS","Russia","CH4","Methane","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2015","2015",115470,,
"RUS","Russia","CH4","Methane","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2016","2016",115570,,
"RUS","Russia","CH4","Methane","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2017","2017",139020,,
"RUS","Russia","CH4","Methane","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2018","2018",147120,,
"RUS","Russia","CH4","Methane","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2019","2019",133990,,
"RUS","Russia","N2O","Nitrous oxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2007","2007",156810,,
"RUS","Russia","N2O","Nitrous oxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2008","2008",169200,,
"RUS","Russia","N2O","Nitrous oxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2009","2009",147860,,
"RUS","Russia","N2O","Nitrous oxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2010","2010",146040,,
"RUS","Russia","N2O","Nitrous oxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2011","2011",148310,,
"RUS","Russia","N2O","Nitrous oxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2012","2012",125630,,
"RUS","Russia","N2O","Nitrous oxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2013","2013",108400,,
"RUS","Russia","N2O","Nitrous oxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2014","2014",116170,,
"RUS","Russia","N2O","Nitrous oxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2015","2015",147200,,
"RUS","Russia","N2O","Nitrous oxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2016","2016",151370,,
"RUS","Russia","N2O","Nitrous oxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2017","2017",197050,,
"RUS","Russia","N2O","Nitrous oxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2018","2018",208900,,
"RUS","Russia","N2O","Nitrous oxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2019","2019",185300,,
"RUS","Russia","CO2","Carbon dioxide","C-NS","C - Non specified","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2007","2007",16756790,,
"RUS","Russia","CO2","Carbon dioxide","C-NS","C - Non specified","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2008","2008",11291440,,
"RUS","Russia","CO2","Carbon dioxide","C-NS","C - Non specified","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2009","2009",11864910,,
"RUS","Russia","CO2","Carbon dioxide","C-NS","C - Non specified","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2010","2010",13172890,,
"RUS","Russia","CO2","Carbon dioxide","C-NS","C - Non specified","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2011","2011",14012330,,
"RUS","Russia","CO2","Carbon dioxide","C-NS","C - Non specified","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2012","2012",16808380,,
"RUS","Russia","CO2","Carbon dioxide","C-NS","C - Non specified","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2013","2013",16379920,,
